日期,代码,名称,形态,当日涨幅,T+1涨幅,T+2涨幅,T+3涨幅,T+4涨幅,T+5涨幅,5日累计涨幅,五日胜率
2026-09-17,603889,新澳股份,整理/回撤,-0.99%,+2.16%,-0.65%,-1.14%,待满/缺值,待满/缺值,待满/缺值,待满/缺值
2026-09-17,301345,涛涛车业,整理/回撤,-2.43%,+3.21%,+1.34%,-1.18%,待满/缺值,待满/缺值,待满/缺值,待满/缺值
2026-09-16,603889,新澳股份,均线上方,-0.16%,-0.33%,+2.16%,-0.65%,-1.14%,待满/缺值,待满/缺值,待满/缺值
2026-09-16,300866,安克创新,整理/回撤,-1.89%,+0.43%,+1.24%,+0.91%,-2.53%,待满/缺值,待满/缺值,待满/缺值
2026-09-15,603697,有友食品,整理/回撤,-1.80%,-0.22%,-2.59%,+0.22%,+1.10%,-0.44%,-1.94%,40%
2026-09-11,603889,新澳股份,均线上方,-0.65%,-1.32%,+1.67%,-0.16%,-0.99%,+2.16%,+1.32%,40%
2026-09-11,600426,华鲁恒升,整理/回撤,-4.43%,-0.70%,+0.66%,-0.65%,-1.57%,+0.26%,-2.01%,40%
2026-09-10,603193,润本股份,整理/回撤,-5.14%,-5.32%,+2.44%,-0.10%,+1.09%,-0.10%,-2.16%,40%
2026-09-10,300445,康斯特,整理/回撤,-1.74%,-0.97%,+2.82%,+2.74%,+1.47%,+0.16%,+6.33%,80%
2026-09-08,603383,顶点软件,整理/回撤,-1.04%,-1.82%,-0.57%,-4.49%,+0.49%,-0.67%,-6.94%,20%
2026-09-08,300445,康斯特,整理/回撤,-1.62%,+1.13%,-1.74%,-0.97%,+2.82%,+2.74%,+3.97%,60%
2026-09-04,600301,华锡有色,整理/回撤,-0.66%,-0.53%,+3.09%,+2.91%,-0.67%,-3.61%,+1.02%,40%
2026-09-04,300357,我武生物,整理/回撤,-2.62%,-1.32%,+1.25%,-8.80%,-2.90%,-2.32%,-13.57%,20%
2026-09-02,603383,顶点软件,整理/回撤,-1.80%,+0.18%,+2.88%,-1.37%,-1.04%,-1.82%,-1.23%,40%
2026-09-02,600301,华锡有色,整理/回撤,-4.26%,+0.60%,-0.66%,-0.53%,+3.09%,+2.91%,+5.44%,60%
2026-09-02,301345,涛涛车业,整理/回撤,-4.53%,+1.23%,+0.20%,-0.04%,-1.49%,-0.04%,-0.17%,40%
2026-09-02,300797,钢研纳克,整理/回撤,-2.19%,-1.04%,-0.75%,-0.30%,+0.08%,-1.29%,-3.28%,20%
2026-09-02,000792,盐湖股份,整理/回撤,-3.27%,+0.48%,-1.55%,-1.39%,+2.09%,-0.41%,-0.82%,40%
2026-08-31,688633,星球石墨,整理/回撤,-4.63%,-0.55%,-1.82%,-1.30%,+0.35%,-0.70%,-3.96%,20%
2026-08-31,688330,宏力达,放量突破,+12.49%,-2.75%,-1.83%,-2.35%,+0.44%,-0.30%,-6.64%,20%
2026-08-31,603998,XD方盛制,趋势多头,+4.47%,+0.64%,-0.82%,-1.65%,-1.49%,+1.13%,-2.19%,40%
2026-08-31,603697,XD有友食,整理/回撤,-1.72%,-0.74%,-0.11%,+0.43%,+3.21%,+0.62%,+3.40%,60%
2026-08-31,300662,科锐国际,重回20日线,+2.08%,-0.53%,+4.78%,-2.33%,+6.90%,-1.38%,+7.32%,40%
2026-08-31,300622,博士眼镜,重回20日线,+6.07%,+1.27%,+0.00%,-2.64%,+1.16%,-0.77%,-1.02%,40%
2026-08-31,300357,我武生物,整理/回撤,-2.36%,+1.74%,+0.18%,-1.10%,-2.62%,-1.32%,-3.13%,40%
2026-08-31,000893,亚钾国际,均线上方,-1.80%,+1.34%,-1.09%,-1.64%,+2.48%,-5.85%,-4.88%,40%
2026-08-31,000426,兴业银锡,均线上方,-4.16%,-1.43%,-3.21%,+3.29%,-2.11%,-2.63%,-6.07%,20%
2026-08-28,600428,中远海特,整理/回撤,+4.46%,+0.17%,+1.57%,-4.28%,+4.30%,+0.09%,+1.66%,80%
2026-08-27,605277,新亚电子,放量突破,+1.86%,-1.59%,+0.90%,+1.01%,+2.64%,+4.69%,+7.76%,80%
2026-08-27,603889,新澳股份,趋势多头,+0.33%,+0.83%,-1.64%,+2.17%,+1.80%,-0.32%,+2.82%,60%
2026-08-27,600479,千金药业,放量突破,+9.98%,+9.98%,-8.85%,+10.04%,-3.07%,+10.03%,+17.66%,60%
2026-08-26,920599,同力股份,放量突破,+3.59%,-0.55%,-1.16%,+0.50%,+1.23%,+0.28%,+0.28%,60%
2026-08-26,688169,石头科技,趋势多头,-2.54%,-0.74%,-1.53%,-0.87%,+4.79%,-3.39%,-1.92%,20%
2026-08-26,603605,珀莱雅,均线上方,+3.37%,-1.45%,-1.59%,-1.66%,+3.80%,+0.29%,-0.73%,40%
2026-08-26,300797,钢研纳克,均线上方,-1.09%,+1.69%,+0.07%,+0.29%,-1.37%,-2.19%,-1.54%,60%
2026-08-26,300389,艾比森,均线上方,+1.75%,+0.78%,-1.01%,+1.41%,-0.08%,-0.77%,+0.31%,40%
2026-08-25,600426,华鲁恒升,整理/回撤,-0.55%,+2.20%,+2.06%,+4.76%,-1.65%,+1.03%,+8.57%,80%
2026-08-25,001316,润贝航科,均线上方,-0.23%,-1.50%,-2.39%,+3.11%,+2.45%,-2.32%,-0.79%,40%
2026-08-24,603486,科沃斯,整理/回撤,-9.98%,+2.11%,-4.32%,-1.39%,-0.02%,-0.66%,-4.32%,20%
2026-08-24,601958,金钼股份,重回20日线,+6.15%,-5.24%,+4.44%,+1.48%,-1.03%,-2.29%,-2.88%,40%
2026-08-24,300320,海达股份,均线上方,-0.71%,+0.59%,-0.24%,-0.24%,+0.12%,+0.12%,+0.36%,60%
2026-08-24,001328,登康口腔,整理/回撤,-1.55%,+3.04%,+0.00%,-1.21%,-0.07%,+0.14%,+1.86%,40%
2026-08-21,920946,森萱医药,均线上方,-9.02%,-4.81%,+4.12%,+0.00%,-0.30%,-0.20%,-1.37%,20%
2026-08-21,603697,XD有友食,整理/回撤,-2.18%,-3.78%,+4.04%,-0.97%,+0.00%,+1.20%,+0.32%,40%
2026-08-21,603519,立霸股份,趋势多头,-0.73%,+2.50%,+2.85%,-5.43%,+4.34%,+1.00%,+5.06%,80%
2026-08-21,600233,圆通速递,整理/回撤,-0.46%,-1.38%,-2.27%,+0.24%,+0.00%,-0.18%,-3.56%,20%
2026-08-20,688615,合合信息,整理/回撤,-13.15%,-2.94%,-4.48%,+3.39%,-0.74%,+2.74%,-2.26%,40%
2026-08-19,605305,XD中际联,整理/回撤,-4.19%,-1.24%,+0.30%,-2.55%,+3.54%,-9.80%,-9.85%,40%
2026-08-19,603383,顶点软件,整理/回撤,-2.34%,-3.73%,+1.64%,-1.99%,+2.07%,+2.55%,+0.38%,60%
2026-08-19,301031,中熔电气,均线上方,-5.64%,+1.40%,+3.42%,-1.61%,-1.70%,+6.98%,+8.51%,60%
2026-08-19,002518,科士达,整理/回撤,-7.00%,-0.15%,+1.92%,+3.21%,+2.21%,+0.77%,+8.17%,80%
2026-08-18,300012,华测检测,趋势多头,+0.00%,-1.51%,+1.47%,-0.85%,+0.20%,-0.07%,-0.79%,40%
2026-08-18,002811,郑中设计,放量突破,+5.09%,-0.66%,+9.99%,+1.65%,-2.36%,-0.76%,+7.63%,40%
2026-08-17,603706,东方环宇,均线上方,+1.84%,+1.66%,-1.42%,+1.65%,-0.96%,-0.36%,+0.52%,40%
2026-08-17,603153,上海建科,均线上方,+0.38%,-0.76%,-1.68%,+2.02%,-0.23%,-0.53%,-1.21%,20%
2026-08-17,603025,大豪科技,均线上方,-1.19%,-3.33%,-4.83%,+0.72%,-0.65%,-2.24%,-10.00%,20%
2026-08-17,600763,通策医疗,均线上方,-1.20%,-2.83%,-2.08%,+3.66%,-3.20%,-2.15%,-6.59%,20%
2026-08-14,600558,大西洋,放量突破,+4.37%,+0.80%,-3.56%,-3.29%,+0.21%,+1.27%,-4.59%,60%
2026-08-13,605305,XD中际联,整理/回撤,-2.25%,-1.49%,+2.04%,-0.10%,-4.19%,-0.22%,-4.00%,20%
2026-08-13,603383,顶点软件,均线上方,-1.07%,-0.34%,+0.81%,+0.74%,-2.34%,-3.73%,-4.84%,40%
2026-08-12,300693,盛弘股份,放量突破,+6.66%,-2.46%,-1.36%,-0.42%,-1.07%,-6.79%,-11.65%,0%
2026-08-10,300622,博士眼镜,均线上方,+1.22%,-2.08%,-0.39%,-3.29%,-2.00%,+1.43%,-6.24%,20%
2026-08-06,603706,东方环宇,均线上方,+0.95%,+0.52%,+0.99%,-0.26%,-0.88%,-1.31%,-0.94%,40%
2026-08-06,000682,东方电子,均线上方,-2.00%,-0.98%,+0.16%,-1.23%,-0.92%,-0.34%,-3.26%,20%
2026-08-05,000603,盛达资源,均线上方,+10.00%,+7.38%,+10.00%,+7.81%,-6.92%,-0.41%,+18.04%,60%
2026-08-03,603889,新澳股份,均线上方,-1.37%,-2.08%,+0.18%,-0.53%,-1.42%,+4.15%,+0.17%,40%
2026-08-03,603706,东方环宇,均线上方,+2.37%,-2.73%,+0.00%,+0.95%,+0.52%,+0.99%,-0.31%,60%
2026-07-31,300622,博士眼镜,放量突破,+7.03%,-1.94%,+1.72%,+0.13%,-2.32%,-0.51%,-2.94%,40%
2026-07-30,603889,新澳股份,均线上方,-1.03%,+0.86%,-1.37%,-2.08%,+0.18%,-0.53%,-2.94%,40%
2026-07-30,300320,海达股份,整理/回撤,-0.74%,+2.37%,+2.20%,-0.84%,+0.72%,-0.24%,+4.24%,60%
2026-07-30,002245,蔚蓝锂芯,整理/回撤,-5.79%,+5.03%,-0.63%,+3.74%,+2.57%,+1.19%,+12.37%,80%
2026-07-29,603383,顶点软件,均线上方,-0.51%,+1.05%,+3.58%,-0.94%,-0.65%,+0.79%,+3.82%,60%
2026-07-28,605305,XD中际联,整理/回撤,-1.83%,+4.00%,-0.94%,-1.30%,-0.26%,+1.89%,+3.34%,40%
2026-07-28,002956,西麦食品,整理/回撤,+3.88%,+10.01%,-3.67%,+3.47%,-3.19%,+0.06%,+6.21%,60%
2026-07-28,002518,科士达,整理/回撤,-4.23%,-1.01%,-5.20%,+2.99%,+1.24%,+3.65%,+1.42%,60%
2026-07-24,605305,XD中际联,整理/回撤,-5.71%,+2.08%,-1.83%,+5.05%,-0.94%,-1.30%,+2.93%,40%
2026-07-24,605056,咸亨国际,整理/回撤,-3.76%,+4.87%,+0.00%,+4.26%,-4.01%,+2.36%,+7.42%,60%
2026-07-24,002518,科士达,整理/回撤,-4.61%,+2.54%,-4.23%,-1.01%,-5.20%,+2.99%,-5.08%,40%
2026-07-24,000792,盐湖股份,整理/回撤,-2.65%,+1.12%,-0.59%,+2.33%,+0.87%,-1.94%,+1.75%,60%
2026-07-22,688059,华锐精密,整理/回撤,-2.07%,-1.69%,-2.65%,+3.65%,-3.63%,-1.41%,-5.74%,20%
2026-07-22,605056,咸亨国际,整理/回撤,-2.99%,+2.84%,-3.76%,+4.87%,+0.00%,+4.26%,+8.21%,60%
2026-07-22,300797,钢研纳克,整理/回撤,-2.40%,+6.37%,-2.05%,+0.87%,+0.95%,+1.63%,+7.83%,80%
2026-07-20,688059,华锐精密,整理/回撤,-20.00%,+19.12%,-2.07%,-1.69%,-2.65%,+3.65%,+15.73%,40%
2026-07-20,605056,咸亨国际,整理/回撤,-4.17%,+1.48%,-2.99%,+2.84%,-3.76%,+4.87%,+2.18%,60%
2026-07-20,002518,科士达,整理/回撤,-4.89%,+5.93%,-2.31%,+2.48%,-4.61%,+2.54%,+3.73%,60%
2026-07-20,002245,蔚蓝锂芯,整理/回撤,-5.89%,+10.03%,-1.92%,+0.71%,-4.23%,+4.48%,+8.75%,60%
2026-07-17,688615,合合信息,整理/回撤,-10.01%,+2.11%,+2.64%,-4.49%,-2.16%,-2.89%,-4.89%,40%
2026-07-17,603039,泛微网络,整理/回撤,-6.69%,-0.69%,+3.37%,-0.20%,-0.17%,-4.38%,-2.21%,20%
2026-07-17,300320,海达股份,整理/回撤,-5.02%,-3.65%,+3.39%,-2.78%,+2.08%,+1.27%,+0.13%,60%
2026-07-17,002901,大博医疗,均线上方,-6.27%,+0.98%,-1.79%,-1.11%,-0.59%,-0.21%,-2.71%,20%
2026-07-16,605305,XD中际联,整理/回撤,-2.32%,-3.73%,+1.90%,+0.37%,+2.17%,+2.28%,+2.90%,80%
2026-07-16,301031,中熔电气,整理/回撤,-14.20%,-4.20%,-4.45%,+7.11%,-1.68%,+6.56%,+2.72%,40%
2026-07-15,002947,恒铭达,整理/回撤,-7.09%,-1.30%,-9.32%,-5.34%,+6.56%,+1.98%,-7.93%,40%
2026-07-14,603706,东方环宇,重回20日线,+3.70%,-1.03%,+1.15%,-1.60%,+3.83%,-7.08%,-4.97%,40%
2026-07-13,300008,天海防务,整理/回撤,-5.76%,-2.04%,+0.52%,-0.34%,-3.11%,+1.61%,-3.40%,40%
2026-07-13,002947,恒铭达,整理/回撤,-6.88%,+3.27%,-7.09%,-1.30%,-9.32%,-5.34%,-18.71%,20%
2026-07-08,300008,天海防务,整理/回撤,-0.67%,+0.34%,+4.87%,-5.76%,-2.04%,+0.52%,-2.36%,60%
2026-07-08,001316,润贝航科,整理/回撤,+1.30%,-3.43%,+1.64%,-8.19%,+1.06%,-7.53%,-15.79%,40%
2026-07-08,000792,盐湖股份,整理/回撤,-6.49%,-1.66%,-2.64%,-3.19%,+3.09%,-0.32%,-4.75%,20%
2026-07-07,601600,中国铝业,整理/回撤,-2.64%,-2.78%,-1.00%,+3.14%,-2.93%,+9.42%,+5.45%,40%
2026-07-07,000682,东方电子,整理/回撤,-3.65%,+0.50%,-2.59%,+3.00%,+0.42%,-1.57%,-0.34%,60%
2026-07-07,000426,兴业银锡,整理/回撤,-4.23%,-2.87%,-2.66%,+2.02%,-7.75%,+5.01%,-6.57%,40%
2026-07-06,688615,合合信息,整理/回撤,-3.65%,-2.85%,+4.57%,+6.23%,+0.69%,-5.24%,+2.97%,60%
2026-07-06,603025,大豪科技,整理/回撤,-3.20%,-2.50%,-0.98%,+3.81%,-1.03%,-4.67%,-5.44%,20%
2026-07-06,002155,湖南黄金,整理/回撤,-6.59%,-4.79%,-0.65%,+5.89%,-2.06%,-6.57%,-8.34%,20%
2026-07-03,603706,东方环宇,整理/回撤,+4.56%,-0.99%,-2.78%,+1.24%,-0.96%,+0.00%,-3.48%,20%
2026-07-03,002811,郑中设计,重回20日线,+3.58%,-5.14%,-3.02%,-1.65%,+2.05%,+1.10%,-6.66%,40%
2026-07-02,600558,大西洋,整理/回撤,+1.85%,-2.56%,-2.02%,-2.27%,-1.90%,-0.86%,-9.27%,0%
2026-07-02,300012,华测检测,均线上方,-5.14%,-1.82%,+1.57%,-2.25%,-3.24%,-0.22%,-5.89%,20%
2026-07-02,000682,东方电子,整理/回撤,-4.00%,-0.08%,+0.08%,-3.66%,+1.27%,-2.59%,-4.97%,40%
2026-07-01,603967,中创物流,整理/回撤,+4.35%,+2.31%,+2.17%,+3.28%,-3.52%,+1.16%,+5.37%,80%
2026-06-30,601600,中国铝业,整理/回撤,-3.81%,-2.07%,-0.37%,+2.00%,+1.83%,-2.64%,-1.34%,40%
2026-06-30,002155,湖南黄金,整理/回撤,-1.97%,-0.29%,+3.19%,+5.58%,-6.59%,-4.79%,-3.39%,40%
2026-06-29,688188,柏楚电子,整理/回撤,-0.87%,+6.75%,+0.47%,+0.61%,+0.78%,-5.13%,+3.16%,80%
2026-06-26,603025,大豪科技,整理/回撤,-4.29%,-2.09%,+4.04%,+1.25%,-1.74%,+3.61%,+5.00%,60%
2026-06-26,002155,湖南黄金,整理/回撤,-5.50%,+0.45%,-1.97%,-0.29%,+3.19%,+5.58%,+6.97%,60%
2026-06-26,000426,兴业银锡,整理/回撤,-6.45%,+0.45%,-0.93%,+0.24%,+3.92%,+2.95%,+6.73%,80%
2026-06-25,603889,新澳股份,整理/回撤,-2.58%,-4.76%,-1.48%,-3.95%,-0.59%,+3.54%,-7.23%,20%
2026-06-24,603383,顶点软件,整理/回撤,-4.53%,-0.42%,-6.69%,-1.35%,+1.14%,+6.74%,-1.05%,40%
2026-06-23,603271,永杰新材,均线上方,-2.77%,-1.92%,-0.95%,-5.04%,-0.44%,+4.34%,-4.16%,20%
2026-06-23,300012,华测检测,均线上方,-1.99%,-0.07%,-1.40%,-4.18%,+1.92%,+0.29%,-3.49%,40%
